Customer_ID,Customer_Type,Region,Monthly_Quantity,Purchase_Frequency,Average_Order,Payment_Delay_Days,Credit_Limit,Relationship_Years,Previous_Month_Sales,Current_Month_Sales,Growth_Percentage,Complaint_Count,Customer_Category
C0001,Dealer,Trichy,278,7,42,14,395081,1,25000,22945,-8.22,3,Low Value
C0002,Retailer,Chennai,286,4,92,4,382898,4,25000,23578,-5.69,1,Low Value
C0003,Contractor,Dindigul,397,3,118,3,454918,1,39004,40724,4.41,3,Low Value
C0004,Contractor,Tirunelveli,551,8,69,10,480199,1,43263,47447,9.67,1,Regular
C0005,Dealer,Tirunelveli,744,3,253,3,810289,3,143057,162785,13.79,2,Regular
C0006,Dealer,Salem,289,3,97,22,432516,7,29836,27351,-8.33,0,Low Value
C0007,Dealer,Salem,1023,13,78,5,1182431,4,70103,85378,21.79,1,High Value
C0008,Retailer,Dindigul,388,6,54,14,590389,1,25000,25858,3.43,4,Low Value
C0009,Contractor,Trichy,445,3,150,3,561736,4,74568,72517,-2.75,2,Low Value
C0010,Contractor,Chennai,298,4,68,19,327096,4,25000,23278,-6.89,2,Low Value
C0011,Dealer,Trichy,119,1,101,8,179650,4,25000,25355,1.42,4,Low Value
C0012,Retailer,Erode,732,9,91,5,816135,9,57261,63491,10.88,1,High Value
C0013,Retailer,Erode,675,6,120,6,733674,8,62862,76591,21.84,3,Regular
C0014,Dealer,Madurai,385,4,97,4,570036,5,28754,30793,7.09,4,Low Value
C0015,Dealer,Salem,467,4,119,7,597190,15,44248,46443,4.96,3,Low Value
C0016,Dealer,Erode,598,8,83,3,928581,3,38642,41629,7.73,0,Regular
C0017,Dealer,Trichy,191,4,50,5,550126,4,25000,24798,-0.81,1,Low Value
C0018,Contractor,Chennai,336,3,119,14,406158,5,37754,36093,-4.4,2,Low Value
C0019,Contractor,Erode,697,8,85,9,303051,1,52560,53522,1.83,0,Low Value
C0020,Dealer,Madurai,226,1,236,3,427520,5,48928,51443,5.14,2,Low Value
C0021,Contractor,Salem,529,6,91,7,531805,1,53992,59802,10.76,1,Regular
C0022,Dealer,Trichy,213,2,108,17,183872,3,25633,25877,0.95,3,Low Value
C0023,Dealer,Erode,582,12,38,5,665887,5,25000,29598,18.39,3,High Value
C0024,Dealer,Erode,441,3,149,3,432253,2,72534,72657,0.17,1,Low Value
C0025,Contractor,Erode,185,5,30,11,365722,6,25000,27487,9.95,1,Low Value
C0026,Retailer,Chennai,854,12,66,1,757768,3,50865,54700,7.54,1,High Value
C0027,Dealer,Dindigul,300,4,68,6,248674,4,25000,23475,-6.1,4,Low Value
C0028,Contractor,Dindigul,288,7,33,18,444979,7,25000,21822,-12.71,4,Low Value
C0029,Contractor,Coimbatore,502,7,89,7,660453,5,42117,43178,2.52,2,Low Value
C0030,Dealer,Dindigul,846,11,88,15,1003085,6,67767,73642,8.67,3,Regular
C0031,Contractor,Madurai,257,3,101,3,235006,6,29707,31177,4.95,6,Low Value
C0032,Dealer,Chennai,466,8,48,6,449708,4,25000,26595,6.38,4,Regular
C0033,Dealer,Trichy,570,9,64,6,606704,6,33707,33485,-0.66,2,Low Value
C0034,Retailer,Madurai,659,7,84,11,747935,3,57621,60485,4.97,1,Low Value
C0035,Retailer,Madurai,496,3,160,8,710857,7,68077,70412,3.43,2,Low Value
C0036,Retailer,Salem,368,4,85,19,190108,4,25000,21932,-12.27,2,Low Value
C0037,Dealer,Coimbatore,285,2,152,5,314763,10,38597,37080,-3.93,1,Low Value
C0038,Dealer,Salem,472,5,91,8,376279,5,39137,38902,-0.6,0,Low Value
